Link, Time, Name
<!DOCTYPE NETSCAPE-Bookmark-file-1>
<META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=UTF-8,
<TITLE>Bookmarks</TITLE>
<H1>Bookmarks</H1>
<DL><p>
<DT><H3 ADD_DATE="1486306431014001,Unlabeled</H3>
<DL><p>
http://maps.google.com/?cid=8001732869900632322,1492367831426001,Linda&#39;s Lawn- Riverside Park South
http://maps.google.com/?cid=2555972889343422018,1487465167984001,Anthropologie
http://maps.google.com/?cid=10341752189159264612,1490314222112001,Empire Cake
http://maps.google.com/?cid=9248206715397594262,1487374148281001,Nashville Cowboy
http://maps.google.com/?cid=15898885324006351464,1498953318271001,La Esquina Midtown
http://maps.google.com/?cid=13092924504999882520,1493649450782001,Brooklyn Bagel &amp; Coffee Company
http://maps.google.com/?cid=3274048328043377025,1491074016622001,Cadillac House
http://maps.google.com/?cid=13907755413717822375,1478382201201001,Treat House
http://maps.google.com/?q=Atlantic+City,+NJ&amp;ftid=0x89c0dd576e5cc721:0x4a6fcb43e9675262,1485818109847001,Atlantic City, New Jersey
http://maps.google.com/?cid=1592909462957467760,1492370706058001,Zabar&#39;s
http://maps.google.com/?cid=13285823026896985261,1489269084237001,Gap
http://maps.google.com/?cid=7237488021487207652,1482937519780001,Urbanspace Vanderbilt
http://maps.google.com/?cid=12966905903765254790,1487618950965001,Newark Liberty International Airport
http://maps.google.com/?q=30+Honeysuckle+Ln,+Woodford,+VT+05201&amp;ftid=0x89e0eb42710e0793:0x5ffdc6e7cd94bc73,1501519133218001,30 Honeysuckle Ln, Woodford, VT 05201
http://maps.google.com/?cid=11948416585594191573,1493601561421001,King Of Falafel &amp; Shawarma Cart
http://maps.google.com/?cid=2677070821511218780,1492290779753001,Brooklyn Bridge
http://maps.google.com/?cid=3316149679823434533,1500724143273001,Courtyard by Marriott New York Manhattan/Times Square
http://maps.google.com/?q=Revson+Fountain,+New+York,+NY+10023&amp;ftid=0x89c2585f78d0f8d1:0x8d1cf95c7a772bc5,1479940595793001,Revson Fountain
http://maps.google.com/?cid=13467297839569284347,1486306684855001,Casa Toscana
http://maps.google.com/?cid=8463361321615564950,1492738221175001,B Side Pizza &amp; Wine Bar
http://maps.google.com/?cid=16708621294305018237,1485353760565001,Astoria Bier &amp; Cheese-Ditmars
http://maps.google.com/?cid=8645482606116018379,1490150702808001,NY Bakery Café
http://maps.google.com/?cid=4545036263277162145,1487465260276001,Rock City Gardens
http://maps.google.com/?cid=2459084978848691165,1492361535275001,BONMi
http://maps.google.com/?cid=2608033773537965250,1496539311586001,Buenos Aires
http://maps.google.com/?cid=16372461834300144579,1499101781032001,Sunglass Hut at Macy&#39;s
http://maps.google.com/?cid=9709598155695729502,1486306469669001,Riverbank State Park Ice Skating Rink
http://maps.google.com/?cid=6864105715130029711,1477537571296001,Totto Ramen
http://maps.google.com/?cid=982514305542084036,1484968559466001,Paris Baguette
http://maps.google.com/?cid=6182067377655413673,1489260287220001,Uniqlo 5th Avenue
http://maps.google.com/?cid=2553967536544217566,1487957826276001,Andrews Coffee Shop
http://maps.google.com/?cid=17110171882135758898,1489886142664001,Julia&#39;s Empanadas
http://maps.google.com/?cid=8442204327346393015,1482467383666001,GR Caribe Solaris
http://maps.google.com/?cid=5194152091454250811,1487475869271001,Atlanta Marriott Suites Midtown
http://maps.google.com/?cid=4430718125058532392,1491844253291001,Nanoosh
http://maps.google.com/?cid=18065237764327553863,1498448574694001,The Bonnie
http://maps.google.com/?cid=2645138315307041084,1501387812370001,Everett Mansion at Southern Vermont College
http://maps.google.com/?cid=3774050270799308081,1494176866400001,St. Patrick&#39;s Old Cathedral Market
http://maps.google.com/?cid=16649222757398919203,1478570154081001,Annabel
http://maps.google.com/?cid=3126663029625658015,1486734738597001,Mee Noodle Shop
http://maps.google.com/?cid=10092022386004639031,1483629289796001,Posman Books
http://maps.google.com/?cid=11946120286492596133,1493518019305001,El Centro
http://maps.google.com/?cid=9165608018520755360,1490547565413001,Hewlett Station Yogurt
http://maps.google.com/?cid=5703696810516591022,1481775046407001,The Thirsty Koala
http://maps.google.com/?cid=2845966795787791477,1487424660828001,Grand Ole Opry
http://maps.google.com/?cid=9540789886713652419,1500854915403001,Snack EOS
http://maps.google.com/?cid=15223236310145217441,1501433181136001,Bringing You Vermont
http://maps.google.com/?cid=2124506039053357237,1494632895536001,Schmackary&#39;s
http://maps.google.com/?cid=16351161178442289885,1487374046570001,Nashville Pedal Tavern
http://maps.google.com/?cid=7995748704850103563,1477064859685001,Astoria Park Tennis Courts
http://maps.google.com/?cid=10983244379281035670,1501285857496001,Millbrook Diner
http://maps.google.com/?cid=14348397903663156162,1492733736441001,Pocket Bar NYC
http://maps.google.com/?cid=11746354058939114709,1484362493705001,Sandros Latin Food Restaurant
http://maps.google.com/?cid=1234601928691395608,1482467311518001,Stamatis
http://maps.google.com/?cid=2981985512772320328,1488640363072001,Boilermaker
http://maps.google.com/?cid=3434910321861588068,1492290767796001,Foragers Market
http://maps.google.com/?cid=16840147108201522451,1498323867669001,Café Habana
http://maps.google.com/?cid=18302694820697590301,1494028161151001,The Boba Room
http://maps.google.com/?cid=15384855683488154827,1483629236077001,Los Tacos No.1
http://maps.google.com/?cid=1173699842503618230,1489862506743001,Lincoln Memorial
http://maps.google.com/?cid=14253648603405403520,1492373918449001,Bagel Talk
http://maps.google.com/?cid=5167226258221565119,1488074356614001,Fluffy’s Cafe &amp; Pizzeria
http://maps.google.com/?cid=902549994701120783,1501440571539001,Big Moose Deli &amp; Country Store
http://maps.google.com/?cid=8502438600298065082,1491688822906001,Grand Central Market
http://maps.google.com/?cid=14933603363056540997,1483629306984001,Chelsea Market Baskets
http://maps.google.com/?cid=12413280886890811262,1477064773950001,Back Room
http://maps.google.com/?cid=18044665092201656590,1486044326760001,Lefkos Pyrgos
http://maps.google.com/?cid=13632685349469713626,1493506009152001,Banana Republic
http://maps.google.com/?cid=16573818104111136436,1489272989568001,Modell&#39;s Sporting Goods
http://maps.google.com/?cid=5371236079316320872,1482468282466001,Tzompantli
http://maps.google.com/?cid=14458372755025625316,1487533996340001,Gus’s World Famous Fried Chicken
http://maps.google.com/?cid=1533352597599226970,1496458161758001,Bubba&#39;s Bistro
http://maps.google.com/?cid=12437642964496715607,1492293897071001,Main Street Park
http://maps.google.com/?cid=15417605902527766573,1479940447714001,Spot Dessert Bar
http://maps.google.com/?cid=18171455458859506785,1486613509047001,AMC Empire 25
http://maps.google.com/?cid=13409868453769151182,1492373907773001,Emack &amp; Bolio&#39;s
http://maps.google.com/?cid=16200044109881497299,1483462602360001,Papyrus
http://maps.google.com/?cid=9395491190452616493,1489282853643001,Ponche Taqueria
http://maps.google.com/?cid=12994037774564081990,1482468164678001,Senor Frog&#39;s
http://maps.google.com/?cid=8313158264013276172,1488162322657001,Trade Fair Supermarket
http://maps.google.com/?cid=11379484203744188786,1491086413216001,Eataly NYC Flatiron
http://maps.google.com/?cid=7299626097816593705,1477919141065001,Cellar 53 Wine &amp; Spirits
http://maps.google.com/?cid=16413506710544766284,1500235692202001,Vassar College
http://maps.google.com/?cid=6439802639176944931,1497324390842001,McDonald&#39;s
